Directory Path                                                                   | Number of Entries
/home/whalien/Desktop/compile_commands/external/dng_sdk                          | 67
/home/whalien/Desktop/compile_commands/external/arm-optimized-routines           | 67
/home/whalien/Desktop/compile_commands/external/libyuv                           | 67
/home/whalien/Desktop/compile_commands/system/logging                            | 67
/home/whalien/Desktop/compile_commands/system/linkerconfig                       | 63
/home/whalien/Desktop/compile_commands/hardware/google/aemu                      | 60
/home/whalien/Desktop/compile_commands/packages/modules/DnsResolver              | 60
/home/whalien/Desktop/compile_commands/external/libmpeg2                         | 60
/home/whalien/Desktop/compile_commands/external/libdrm                           | 60
/home/whalien/Desktop/compile_commands/external/oboe                             | 59
/home/whalien/Desktop/compile_commands/external/openscreen                       | 58
/home/whalien/Desktop/compile_commands/external/harfbuzz_ng                      | 57
/home/whalien/Desktop/compile_commands/external/zstd                             | 56
/home/whalien/Desktop/compile_commands/external/deqp-deps/amber                  | 53
/home/whalien/Desktop/compile_commands/system/security                           | 53
/home/whalien/Desktop/compile_commands/system/libbase                            | 52
/home/whalien/Desktop/compile_commands/external/sfntly                           | 51
/home/whalien/Desktop/compile_commands/system/connectivity/wificond              | 51
/home/whalien/Desktop/compile_commands/external/libese                           | 50
/home/whalien/Desktop/compile_commands/external/deqp-deps/glslang                | 50
/home/whalien/Desktop/compile_commands/test/vts                                  | 48
/home/whalien/Desktop/compile_commands/external/oj-libjdwp                       | 48
/home/whalien/Desktop/compile_commands/external/libxml2                          | 47
/home/whalien/Desktop/compile_commands/external/rust/crates/ring                 | 45
/home/whalien/Desktop/compile_commands/system/libvintf                           | 45
/home/whalien/Desktop/compile_commands/external/lzma                             | 44
/home/whalien/Desktop/compile_commands/system/vold                               | 44
/home/whalien/Desktop/compile_commands/hardware/google/gchips                    | 43
/home/whalien/Desktop/compile_commands/external/OpenCSD                          | 43
/home/whalien/Desktop/compile_commands/external/virglrenderer                    | 42
/home/whalien/Desktop/compile_commands/external/trace-cmd                        | 42
/home/whalien/Desktop/compile_commands/external/bsdiff                           | 42
/home/whalien/Desktop/compile_commands/system/apex                               | 42
/home/whalien/Desktop/compile_commands/external/libcups                          | 41
/home/whalien/Desktop/compile_commands/external/v4l2_codec2                      | 40
/home/whalien/Desktop/compile_commands/external/googletest                       | 40
/home/whalien/Desktop/compile_commands/external/zucchini                         | 39
/home/whalien/Desktop/compile_commands/external/avb                              | 39
