project,dir,filename,count,reason,summary
grpc/grpc,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/grpc/acbda983-2d73a175-8cd6ee62,src/core/lib/security/credentials/google_default/google_default_credentials.raw.cc,1,"one side change, one side deletion",
redis/redis,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/redis/d433ebc6-b4f2e412-2b00385d,src/t_zset.raw.c,3,style related,"total: 4, correct: 4"
redis/redis,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/redis/dda8cc18-6e98214f-d8207d09,src/replication.raw.c,1,style related,
rocksdb/rocksdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/rocksdb/0b4ccf76-4564b2e8-183ba01a,db/db_impl.raw.cc,4,"1 only one side change, 3 one side change, one side deletion","total: 27, correct: 26"
rocksdb/rocksdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/rocksdb/9f15092e-e5fa4944-abeee9f2,db/db_impl.raw.cc,1,"one side change, one side deletion",
rocksdb/rocksdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/rocksdb/29bacb2e-5b3b6549-30a70065,db/db_impl_readonly.raw.cc,1,"one side change, one side deletion",
rocksdb/rocksdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/rocksdb/8555ce2d-7efdd9ef-8c4a3bfa,db/db_impl.raw.cc,2,"1 one side change, one side deletion, 1 style related",
rocksdb/rocksdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/rocksdb/9625acbf-8ca30bd5-a1d56e73,db/db_impl.raw.cc,1,"one side change, one side deletion",
rocksdb/rocksdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/rocksdb/159928df-fcd5c5e8-758fa8c3,db/version_set.raw.cc,1,"one side change, one side deletion",
rocksdb/rocksdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/rocksdb/275832ae-ebaff6f9-83ab62e2,db/db_impl.raw.cc,2,only one side change,
rocksdb/rocksdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/rocksdb/bcea9c12-63cef900-5601bc46,db/db_impl.raw.cc,1,"one side change, one side deletion",
rocksdb/rocksdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/rocksdb/bcea9c12-63cef900-5601bc46,db/version_set.raw.cc,2,only one side change,
rocksdb/rocksdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/rocksdb/d4f2c610-d5de22dc-e5fa4944,db/db_impl.raw.cc,4,"2 only one side change, 2 one side change, one side deletion",
rocksdb/rocksdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/rocksdb/d43ebd8c-183ba01a-3c0dcf0e,db/db_impl.raw.cc,1,"one side change, one side deletion",
rocksdb/rocksdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/rocksdb/e2dd148a-abeee9f2-8ca30bd5,db/db_impl.raw.cc,2,"1 only one side change, 1 one side change, one side deletion",
rocksdb/rocksdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/rocksdb/f9b2f0ad-5142b370-b2795b79,db/db_impl.raw.cc,4,"1 only one side change, 3 one side change, one side deletion",
rocksdb/rocksdb,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/rocksdb/fb2346fc-45ad75db-d5de22dc,tools/db_stress.raw.cc,1,only one side change,
aosp/system/core,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/system_core/0bb51f76-8cbbc2dc-d61ce22b,fs_mgr/libsnapshot/snapuserd/user-space-merge/snapuserd_server.raw.cpp,1,"one side change, one side deletion","total: 5, correct: 3"
aosp/system/core,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/system_core/8c3eed81-43a0b172-3e96c44e,libprocessgroup/sched_policy.raw.cpp,2,only one side change,
aosp/system/core,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/system_core/763fa64d-d7846a2c-1fa02519,init/init_first_stage.raw.cpp,1,style related,
aosp/system/core,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/system_core/e09432e1-c9d0e479-2707e2de,init/property_service.raw.cpp,1,"one side change, one side deletion",
tmux/tmux,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/tmux/9cd45dda-8a4a2153-40ad11b2,tty-term.raw.c,1,"one side change, one side deletion","total: 7, correct: 6"
tmux/tmux,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/tmux/20e89605-b33a3022-31ed29e5,server-client.raw.c,1,style related,
tmux/tmux,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/tmux/52e3d960-c20eb0c0-26f5dfbe,tmux.raw.c,1,only one side change,
tmux/tmux,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/tmux/147b5ae5-44657bf9-9952201c,client.raw.c,2,"one side change, one side deletion",
tmux/tmux,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/tmux/147b5ae5-44657bf9-9952201c,server.raw.c,1,"one side change, one side deletion",
tmux/tmux,/home/whalien/codebase/cpp/mergebot-experimental-data/heuristic-check/tmux/147b5ae5-44657bf9-9952201c,tmux.raw.c,1,"one side change, one side deletion",
